fecha;año;mes;commodity;fuente;mercado;tipo_precio;precio_tipo_original;precio_unidad;precio_total;campo_precio_original;valor_precio_original;precio_original_texto;moneda;moneda_explicitamente_informada;moneda_inferida;campo_moneda_original;valor_moneda_original;unidad;precio;volumen;volumen_unidad;campo_volumen_original;procedencia;provincia;localidad;zona;lugar_entrega;precio_puesto_en;operacion;condicion_pago;condicion_comercial;frecuencia;archivo_origen;fecha_integracion;observaciones;apto_piloto;apto_dashboard;pagina_origen;id_operacion_sio;muestra_tipo;muestra_paginas;estado_paginacion;precio_cero_flag;precio_cero_tipo;precio_valido_para_serie
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;285560;;PRECIO/TN MONTO;285560,00;285560,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;285560;26,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario N/En destino;Rosario N/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;285560;;PRECIO/TN MONTO;285560,00;285560,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;285560;8,45;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario N/En destino;Rosario N/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;283860;;PRECIO/TN MONTO;283860,00;283860,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;283860;8,53;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Cordoba/En destino;Cordoba/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;283860;;PRECIO/TN MONTO;283860,00;283860,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;283860;7,70;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Cordoba/En destino;Cordoba/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;283860;;PRECIO/TN MONTO;283860,00;283860,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;283860;50,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Cordoba/En destino;Cordoba/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;283760;;PRECIO/TN MONTO;283760,00;283760,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;283760;116,59;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Zona 11/En destino;Zona 11/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;283860;;PRECIO/TN MONTO;283860,00;283860,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;283860;10,28;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Cordoba/En destino;Cordoba/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;285560;;PRECIO/TN MONTO;285560,00;285560,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;285560;23,14;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario N/En destino;Rosario N/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;206;;PRECIO/TN MONTO;206,00;206,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;206;30,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Rosario S/En destino;Rosario S/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;558300;;PRECIO/TN MONTO;558300,00;558300,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;558300;34,32;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Cordoba/En destino;Cordoba/En destino;;Contrato;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-04;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;373.9;;PRECIO/TN MONTO;373,90;373,90;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;373.9;200,00;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Cordoba/En destino;Cordoba/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
