commodity;moneda;unidad;tipo_precio;año;mes;periodo_ym;precio_mediana;variacion_mensual_pct;estado
Maíz;USD;TN;Canje;2026;7;2026-07;192.96;6.021978;Suba moderada
Maíz;USD;TN;Compraventa;2026;7;2026-07;187;3.888889;Estable
Soja;ARS;TN;Canje;2026;7;2026-07;481000;3.589673;Estable
Soja;ARS;TN;Compraventa;2026;7;2026-07;490000;5.376344;Suba moderada
Soja;USD;TN;Canje;2026;7;2026-07;346.05;4.695489;Estable
Soja;USD;TN;Compraventa;2026;7;2026-07;330;4.761905;Estable
Sorgo;ARS;TN;Canje;2026;7;2026-07;266400;-0.585515;Estable
Sorgo;ARS;TN;Compraventa;2026;7;2026-07;266530;-4.469534;Estable
Sorgo;USD;TN;Canje;2026;7;2026-07;183.15;-6.076923;Baja
Sorgo;USD;TN;Compraventa;2026;7;2026-07;180;-6.735751;Baja
TRIGO CAND.;ARS;TN;Compraventa;2026;7;2026-07;314806.5;5.180922;Suba moderada
TRIGO CAND.;USD;TN;Compraventa;2026;7;2026-07;321;30.236332;Suba fuerte
TRIGO PAN;ARS;TN;Canje;2026;7;2026-07;292000;-1.184433;Estable
TRIGO PAN;ARS;TN;Compraventa;2026;7;2026-07;300000;0.334448;Estable
TRIGO PAN;USD;TN;Canje;2026;7;2026-07;220;6.280193;Suba moderada
TRIGO PAN;USD;TN;Compraventa;2026;7;2026-07;220;6.280193;Suba moderada
ACEITE SOJA;ARS;TN;Canje;2026;8;2026-08;1246090;0.978513;Estable
ACEITE SOJA;ARS;TN;Compraventa;2026;8;2026-08;1177900;-7.976562;Baja
ACEITE SOJA;USD;TN;Compraventa;2026;8;2026-08;940;0;Estable
ARROZ C.L.A;ARS;TN;Canje;2026;8;2026-08;400000;0;Estable
ARROZ C.L.A;ARS;TN;Compraventa;2026;8;2026-08;400000;0;Estable
ARROZ C.L.F;ARS;TN;Canje;2026;8;2026-08;300000;0;Estable
ARROZ C.L.F;ARS;TN;Compraventa;2026;8;2026-08;300000;11.111111;Suba moderada
CEBADA CERV.;ARS;TN;Compraventa;2026;8;2026-08;170000;;Sin dato
CEBADA CERV.;USD;TN;Canje;2026;8;2026-08;235;0;Estable
CEBADA CERV.;USD;TN;Compraventa;2026;8;2026-08;235;11.904762;Suba moderada
CEBADA FORR.;ARS;TN;Canje;2026;8;2026-08;225000;-4.255319;Estable
CEBADA FORR.;ARS;TN;Compraventa;2026;8;2026-08;290160;2.893617;Estable
CEBADA FORR.;USD;TN;Canje;2026;8;2026-08;205;6.770833;Suba moderada
CEBADA FORR.;USD;TN;Compraventa;2026;8;2026-08;205;6.217617;Suba moderada
Girasol;ARS;TN;Canje;2026;8;2026-08;736895.5;11.898791;Suba moderada
Girasol;ARS;TN;Compraventa;2026;8;2026-08;728860;9.99585;Suba moderada
Girasol;USD;TN;Canje;2026;8;2026-08;444.6;11.15;Suba moderada
Girasol;USD;TN;Compraventa;2026;8;2026-08;450;10.294118;Suba moderada
Maíz;ARS;TN;Canje;2026;8;2026-08;268020;0.494938;Estable
Maíz;ARS;TN;Compraventa;2026;8;2026-08;271100;0.81065;Estable
Maíz;USD;TN;Canje;2026;8;2026-08;195;1.057214;Estable
Maíz;USD;TN;Compraventa;2026;8;2026-08;194.93;4.240642;Estable
Soja;ARS;TN;Canje;2026;8;2026-08;509850;5.997921;Suba moderada
Soja;ARS;TN;Compraventa;2026;8;2026-08;510000;4.081633;Estable
Soja;USD;TN;Canje;2026;8;2026-08;352;1.719405;Estable
Soja;USD;TN;Compraventa;2026;8;2026-08;349;5.757576;Suba moderada
Sorgo;ARS;TN;Canje;2026;8;2026-08;269265;1.07545;Estable
Sorgo;ARS;TN;Compraventa;2026;8;2026-08;274260;2.900236;Estable
Sorgo;USD;TN;Canje;2026;8;2026-08;185;1.010101;Estable
Sorgo;USD;TN;Compraventa;2026;8;2026-08;185;2.777778;Estable
TRIGO CAND.;ARS;TN;Compraventa;2026;8;2026-08;320200;1.713275;Estable
TRIGO CAND.;USD;TN;Compraventa;2026;8;2026-08;381.25;18.76947;Suba moderada
TRIGO PAN;ARS;TN;Canje;2026;8;2026-08;318599;9.109247;Suba moderada
TRIGO PAN;ARS;TN;Compraventa;2026;8;2026-08;324720;8.24;Suba moderada
TRIGO PAN;USD;TN;Canje;2026;8;2026-08;228.85;4.022727;Estable
TRIGO PAN;USD;TN;Compraventa;2026;8;2026-08;230;4.545455;Estable
ACEITE SOJA;ARS;TN;Compraventa;2026;9;2026-09;1300000;10.365905;Suba moderada
ACEITE SOJA;USD;TN;Compraventa;2026;9;2026-09;955;1.595745;Estable
ARROZ C.L.A;ARS;TN;Compraventa;2026;9;2026-09;460500;15.125;Suba moderada
ARROZ C.L.F;ARS;TN;Compraventa;2026;9;2026-09;350000;16.666667;Suba moderada
CEBADA CERV.;USD;TN;Canje;2026;9;2026-09;215;-8.510638;Baja
