año;mes;periodo_ym;commodity;moneda;unidad;tipo_precio;fuente;operaciones;precio_promedio;precio_mediana;precio_min;precio_max;volumen_total;precio_ponderado_volumen;dias_con_datos;variacion_mensual_pct;variacion_interanual_pct
2026;5;2026-05;Soja;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;2887;321.787392;320.7;138;460;1769531.46;325.545172;25;0.849057;
2026;5;2026-05;Sorgo;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;32;269804.90625;262001;195;380700;1488.27;284626.625478;13;1.945914;
2026;5;2026-05;Sorgo;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;235;267402.144681;273195;130;430000;24089.05;267324.941906;20;5.480695;
2026;5;2026-05;Sorgo;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;41;199.113659;198;190.08;234.79;47182.13;193.850321;18;-1;
2026;5;2026-05;Sorgo;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;609;196.969015;198;122.95;330;144671.47;197.032981;21;1.538462;
2026;5;2026-05;TRIGO CAND.;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;38;323822.394737;313752.5;254460;395252;18780.58;320485.617839;16;8.896467;
2026;5;2026-05;TRIGO CAND.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;1;235;235;235;235;15.1;235;1;21.415655;
2026;5;2026-05;TRIGO PAN;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;324;283464.209877;291300;202600;360000;16711.8;281476.505168;22;14.938447;
2026;5;2026-05;TRIGO PAN;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;4497;301106.114007;297345;213.05;500000;911270.86;303427.622799;25;10.949627;
2026;5;2026-05;TRIGO PAN;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;281;223.836797;223.8;165;312;47132.72;224.233549;19;4.134193;
2026;5;2026-05;TRIGO PAN;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;2411;220.902182;225;168;380;1141725.23;217.582351;23;4.651163;
2026;6;2026-06;ACEITE SOJA;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;11;1297246.363636;1260000;1106220;1452000;190.65;1266830.028849;7;-0.395257;
2026;6;2026-06;ACEITE SOJA;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;106;957.821981;960;880;1076;7983.91;961.806545;21;-2.040816;
2026;6;2026-06;ARROZ C.L.A;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;32;386875;400000;360000;400000;1625.49;396684.93808;8;11.111111;
2026;6;2026-06;ARROZ C.L.A;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;19;380098.157895;400000;304000;411588;2848.97;364544.619017;6;0.786894;
2026;6;2026-06;ARROZ C.L.F;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;75;283178.306667;300000;200000;390000;19736.23;334419.017339;14;20;
2026;6;2026-06;ARROZ C.L.F;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;73;287564.684932;287874;150000;450000;10955.04;291602.61187;16;2.812143;
2026;6;2026-06;CEBADA CERV.;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;4;232.5;232.5;230;235;610;233.278689;2;3.333333;
2026;6;2026-06;CEBADA CERV.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;364;218.217582;210;190;250;310483.28;215.078164;21;-8.695652;
2026;6;2026-06;CEBADA FORR.;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;2;235000;235000;235000;235000;58.13;235000;1;4.444444;
2026;6;2026-06;CEBADA FORR.;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;21;273890.428571;285500;200000;294736;5837.12;284692.77212;11;-1.125541;
2026;6;2026-06;CEBADA FORR.;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;18;193.483333;195;167.45;207.9;2497.25;197.078466;11;-5.797101;
2026;6;2026-06;CEBADA FORR.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;354;198.823588;198;140;254;67761.11;200.902824;22;-4.347826;
2026;6;2026-06;Girasol;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;61;598034.081967;595140;471735;698541;1924.19;594801.028183;17;2.122621;
2026;6;2026-06;Girasol;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;1692;613725.132979;602000;410;742751;103379.84;610016.075131;23;3.26609;
2026;6;2026-06;Girasol;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;87;390.947586;390;294;460;15255.43;418.090585;20;2.631579;
