fecha;commodity;operacion;tipo_precio;moneda;unidad;precio;precio_original_texto;campo_precio_original;volumen;volumen_unidad;procedencia;lugar_entrega;condicion_comercial;precio_cero_tipo;observaciones;archivo_origen
2026-09-05;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;1584,95;TN;CHACO;Rosario N/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-05;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;120,00;TN;ENTRE RÍOS;Zona 18/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;36,00;TN;CÓRDOBA;Rosario N/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;160,00;TN;SANTIAGO DEL ESTERO;Rosario N/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;30,00;TN;BUENOS AIRES;Zona 7/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;40,00;TN;BUENOS AIRES;Zona 7/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;50,00;TN;BUENOS AIRES;Zona 7/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Anulación;Canje;Sin especificar;TN;0;0,00;PRECIO/TN MONTO;300,00;TN;CÓRDOBA;Rosario S/En destino;;operacion_sin_precio;"precio cero clasificado como operacion_sin_precio; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Anulación;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;300,00;TN;CÓRDOBA;Rosario S/En destino;;operacion_sin_precio;"precio cero clasificado como operacion_sin_precio; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Maíz;Contrato;Canje;Sin especificar;TN;0;0,00;PRECIO/TN MONTO;90,00;TN;SANTA FE;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;90,00;TN;SANTA FE;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;390,00;TN;BUENOS AIRES;Zona 2/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;60,00;TN;BUENOS AIRES;Zona 2/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;290,00;TN;ENTRE RÍOS;Zona 18/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;200,00;TN;BUENOS AIRES;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;60,00;TN;CÓRDOBA;Zona 12/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;150,00;TN;BUENOS AIRES;Zona 12/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Soja;Contrato;Canje;Sin especificar;TN;0;0,00;PRECIO/TN MONTO;60,00;TN;CÓRDOBA;Zona 12/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;300,00;TN;ENTRE RÍOS;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;1500,00;TN;SANTA FE;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;1500,00;TN;SANTA FE;Rosario S/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
2026-09-04;Maíz;Contrato;Compraventa;Sin especificar;TN;0;0;PRECIO/TN MONTO;500,00;TN;SAN LUIS;Zona 10/En destino;;cero_explicito;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";SIO_exportar_operaciones_2026-09-07.csv
